Índice;Torrent;Titulo (Año);Titulo;Año;Calidad;Resolucion;Tipo;Idioma;Capitulo;Índice;Magnet;Infohash;ID;Score;Url
16;A Traves Del Armario [HDTV][1080p][Cap 102].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;102;16;magnet:?xt=urn:btih:a9dd5154ff6f6940009a7b109ff1478a06da01a8;a9dd5154ff6f6940009a7b109ff1478a06da01a8;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
17;A Traves Del Armario [HDTV][1080p][Cap 103].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;103;17;magnet:?xt=urn:btih:f0663912c29a680e4e079f240997af8ecc3ce9fc;f0663912c29a680e4e079f240997af8ecc3ce9fc;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
18;A Traves Del Armario [HDTV][1080p][Cap 104].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;104;18;magnet:?xt=urn:btih:d8df68ba1eb6f186081015e331ec214e17fd2911;d8df68ba1eb6f186081015e331ec214e17fd2911;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
19;A Traves Del Armario [HDTV][1080p][Cap 105].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;105;19;magnet:?xt=urn:btih:5689ccd75e2153ba1f1281c3e96de5df616ac5b0;5689ccd75e2153ba1f1281c3e96de5df616ac5b0;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
20;A Traves Del Armario [HDTV][1080p][Cap 106].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;106;20;magnet:?xt=urn:btih:d5b01b802a456d5e2a904b421f07c4e1dfff7559;d5b01b802a456d5e2a904b421f07c4e1dfff7559;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
21;A Traves Del Armario [HDTV][1080p][Cap 107].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;107;21;magnet:?xt=urn:btih:f22cb15705ceb0bf43c8ebc1dc54086dc63a8ac5;f22cb15705ceb0bf43c8ebc1dc54086dc63a8ac5;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
22;A Traves Del Armario [HDTV][1080p][Cap 108].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;108;22;magnet:?xt=urn:btih:f8069ada4ccb0a819107b9e24ae122e06f8ae6ad;f8069ada4ccb0a819107b9e24ae122e06f8ae6ad;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
23;A Traves Del Armario [HDTV][1080p][Cap 109].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;109;23;magnet:?xt=urn:btih:1fbf40a19d569f69fc6164a79a9130a6675b125b;1fbf40a19d569f69fc6164a79a9130a6675b125b;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
24;A Traves Del Armario [HDTV][1080p][Cap 110].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;FHD;Serie;;110;24;magnet:?xt=urn:btih:a93380c8b2e82d08f032522b60b85b20f59ebd74;a93380c8b2e82d08f032522b60b85b20f59ebd74;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
25;A Traves Del Armario [HDTV][480p][Cap 101].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;101;25;magnet:?xt=urn:btih:0d696129bbe74cccf6fb0718361d325b50ead8f0;0d696129bbe74cccf6fb0718361d325b50ead8f0;2ef495269b895b735367b08da4e8115bf500c620;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
26;A Traves Del Armario [HDTV][480p][Cap 102].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;102;26;magnet:?xt=urn:btih:85715b0c7f2ffe10a7056fb5b212e16a7ad1b6db;85715b0c7f2ffe10a7056fb5b212e16a7ad1b6db;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
27;A Traves Del Armario [HDTV][480p][Cap 103].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;103;27;magnet:?xt=urn:btih:e93f719b63a7d945e5b5e40c7554dc7b604108ad;e93f719b63a7d945e5b5e40c7554dc7b604108ad;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
28;A Traves Del Armario [HDTV][480p][Cap 104].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;104;28;magnet:?xt=urn:btih:86ef3b8ec27ba524ac70523be3ec5c855a565361;86ef3b8ec27ba524ac70523be3ec5c855a565361;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
29;A Traves Del Armario [HDTV][480p][Cap 105].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;105;29;magnet:?xt=urn:btih:264bf732f2604bd5936d045cab919b8a4c60a4f5;264bf732f2604bd5936d045cab919b8a4c60a4f5;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
30;A Traves Del Armario [HDTV][480p][Cap 106].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;106;30;magnet:?xt=urn:btih:5337bf166709779e9d160be6590c6c1b5a87af06;5337bf166709779e9d160be6590c6c1b5a87af06;b6bf1fda2fb658ca99116194627483a992d8f706;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
31;A Traves Del Armario [HDTV][480p][Cap 107].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;107;31;magnet:?xt=urn:btih:ab2b74e0bebc8691c7e106aa39ec9f5e52a7cc38;ab2b74e0bebc8691c7e106aa39ec9f5e52a7cc38;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
32;A Traves Del Armario [HDTV][480p][Cap 108].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;108;32;magnet:?xt=urn:btih:5bedceb305a33f64c06172a337294b87f08819af;5bedceb305a33f64c06172a337294b87f08819af;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
33;A Traves Del Armario [HDTV][480p][Cap 109].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;109;33;magnet:?xt=urn:btih:17698c842859dad461c0237f9fa027354903b2b3;17698c842859dad461c0237f9fa027354903b2b3;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
34;A Traves Del Armario [HDTV][480p][Cap 110].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;SD;Serie;;110;34;magnet:?xt=urn:btih:369d7bebd15b85bbb302893b1bacb6b4509e9167;369d7bebd15b85bbb302893b1bacb6b4509e9167;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
35;A Traves Del Armario [HDTV][720p][Cap 101].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;101;35;magnet:?xt=urn:btih:13d3608aee40192706bc0986605b3f7f955bdbf7;13d3608aee40192706bc0986605b3f7f955bdbf7;5f99c2ee9016864668a8989842a3166b74e6ab13;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
36;A Traves Del Armario [HDTV][720p][Cap 102].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;102;36;magnet:?xt=urn:btih:3b57557c60358c93c51aa06c0d6454c327426236;3b57557c60358c93c51aa06c0d6454c327426236;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
37;A Traves Del Armario [HDTV][720p][Cap 103].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;103;37;magnet:?xt=urn:btih:0886cb9e87877d526760d192bf758469b253f586;0886cb9e87877d526760d192bf758469b253f586;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
38;A Traves Del Armario [HDTV][720p][Cap 104].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;104;38;magnet:?xt=urn:btih:44a23e6356e2731f5ff88bb87113accd1b7aae21;44a23e6356e2731f5ff88bb87113accd1b7aae21;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
39;A Traves Del Armario [HDTV][720p][Cap 105].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;105;39;magnet:?xt=urn:btih:7e2fc30d19e52cc36dc1aa2969ccca5aecedc135;7e2fc30d19e52cc36dc1aa2969ccca5aecedc135;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
40;A Traves Del Armario [HDTV][720p][Cap 106].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;106;40;magnet:?xt=urn:btih:e560a5f091569d837550dcf0a49ddb8b770a7449;e560a5f091569d837550dcf0a49ddb8b770a7449;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
41;A Traves Del Armario [HDTV][720p][Cap 107].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;107;41;magnet:?xt=urn:btih:3ae0d5ceca8a1e1501f410341b1e68578f036d21;3ae0d5ceca8a1e1501f410341b1e68578f036d21;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
42;A Traves Del Armario [HDTV][720p][Cap 108].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;108;42;magnet:?xt=urn:btih:347079de584c4e355ac8cfbec90d799f5bb02112;347079de584c4e355ac8cfbec90d799f5bb02112;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
43;A Traves Del Armario [HDTV][720p][Cap 109].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;109;43;magnet:?xt=urn:btih:f682f661bc11eb532cc28e0c137112ffcd064adc;f682f661bc11eb532cc28e0c137112ffcd064adc;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
44;A Traves Del Armario [HDTV][720p][Cap 110].torrent;A Traves Del Armario;A Traves Del Armario;;HDTV;HD;Serie;;110;44;magnet:?xt=urn:btih:87db59e9837d8ee22eb75f509d67270517513bad;87db59e9837d8ee22eb75f509d67270517513bad;0;8.6;https://image.tmdb.org/t/p/w185/1dSlhCWkiNVVkGrEuAeNZx5Rpse.jpg
45;A traves del mar (2023) [2160p][Esp].torrent;A traves del mar (2023);A traves del mar;2023;;4K;Pelicula;Castellano;;45;magnet:?xt=urn:btih:7d83ddf268a7c74c7d2b29a224a57cd341cb1432;7d83ddf268a7c74c7d2b29a224a57cd341cb1432;1fd09802b7b6d1af14ee1142a8ae69e8a2bfa01d;6.6;https://image.tmdb.org/t/p/w185/7uaPJ3dHfWTImkJqzdHssicPwWU.jpg
46;Abrazame fuerte (2021) [Bluray][480p][Esp].torrent;Abrazame fuerte (2021);Abrazame fuerte;2021;Bluray;SD;Pelicula;Castellano;;46;magnet:?xt=urn:btih:bcacb3a5f8d1348996f3fa411a59034fe1349077;bcacb3a5f8d1348996f3fa411a59034fe1349077;9d99660cd08e4f13bc9ed3473c94260faab09cf5;6.5;https://image.tmdb.org/t/p/w185/mbeY6H8IrynvkUndp9BK18fau0h.jpg
47;Abrazame fuerte (2021) [Bluray][720p][Esp].torrent;Abrazame fuerte (2021);Abrazame fuerte;2021;Bluray;HD;Pelicula;Castellano;;47;magnet:?xt=urn:btih:63fc3078f43ebe4d16be1d7a38b03a040e796fc1;63fc3078f43ebe4d16be1d7a38b03a040e796fc1;0c1db01640ed027b6c74974926ba45a2981fe5de;6.5;https://image.tmdb.org/t/p/w185/mbeY6H8IrynvkUndp9BK18fau0h.jpg
48;Accused [HDTV][1080p][Cap 115].torrent;Accused;Accused;;HDTV;FHD;Serie;;115;48;magnet:?xt=urn:btih:d396da1f56ced661935cc7330820c9d4a5b2b9fe;d396da1f56ced661935cc7330820c9d4a5b2b9fe;0;7.8;https://image.tmdb.org/t/p/w185/aNkYvln58BJoNyBUvig417HJWZQ.jpg
49;Accused [HDTV][480p][Cap 115].torrent;Accused;Accused;;HDTV;SD;Serie;;115;49;magnet:?xt=urn:btih:84381c355076b39ef0176bf321d683874d591b7b;84381c355076b39ef0176bf321d683874d591b7b;ecc0b9a1c96f9c7328ff4a38cd42c523248236e4;7.8;https://image.tmdb.org/t/p/w185/aNkYvln58BJoNyBUvig417HJWZQ.jpg
50;Accused [HDTV][720p][Cap 115].torrent;Accused;Accused;;HDTV;HD;Serie;;115;50;magnet:?xt=urn:btih:0f600fb1d25b5f3f361dbdc97151dda11d909138;0f600fb1d25b5f3f361dbdc97151dda11d909138;e895d40807c5be42a391e48b6e1693234c62ab24;7.8;https://image.tmdb.org/t/p/w185/aNkYvln58BJoNyBUvig417HJWZQ.jpg
51;Aci Alta Capacidad Intelectual [HDTV][1080p][Cap 301].torrent;Aci Alta Capacidad Intelectual;Aci Alta Capacidad Intelectual;;HDTV;FHD;Serie;;301;51;magnet:?xt=urn:btih:3a9c5f7b1cf60a74b2b7413616fc129a9afe924e;3a9c5f7b1cf60a74b2b7413616fc129a9afe924e;0;7.4;https://image.tmdb.org/t/p/w185/bXsxfLs8DOeS7bkOOm7YlYTfusV.jpg
52;Aci Alta Capacidad Intelectual [HDTV][1080p][Cap 302].torrent;Aci Alta Capacidad Intelectual;Aci Alta Capacidad Intelectual;;HDTV;FHD;Serie;;302;52;magnet:?xt=urn:btih:0393cc43bdf98485d386ab051d89551b54837042;0393cc43bdf98485d386ab051d89551b54837042;0;7.4;https://image.tmdb.org/t/p/w185/bXsxfLs8DOeS7bkOOm7YlYTfusV.jpg
53;ACI Alta Capacidad Intelectual [HDTV][1080p][Cap 303].torrent;ACI Alta Capacidad Intelectual;ACI Alta Capacidad Intelectual;;HDTV;FHD;Serie;;303;53;magnet:?xt=urn:btih:78acc0850d85b26ada4d5d062340317e07fac100;78acc0850d85b26ada4d5d062340317e07fac100;cce4b98bb1432e3399a71ab7a169975baed580ff;7.4;https://image.tmdb.org/t/p/w185/bXsxfLs8DOeS7bkOOm7YlYTfusV.jpg
